iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,marti,touchpad,0,8,40,450,2,1,1782724688264
0,marti,touchpad,0,8,40,450,6,1,1782724689779
0,marti,touchpad,0,8,40,450,3,1,1782724690303
0,marti,touchpad,0,8,40,450,7,1,1782724690990
0,marti,touchpad,0,8,40,450,4,1,1782724691581
0,marti,touchpad,0,8,40,450,0,1,1782724692565
0,marti,touchpad,0,8,40,450,5,1,1782724693273
0,marti,touchpad,0,8,40,450,1,1,1782724693924
1,marti,touchpad,0,8,40,450,1,1,1782724696265
1,marti,touchpad,0,8,40,450,5,1,1782724697047
1,marti,touchpad,0,8,40,450,2,1,1782724697790
1,marti,touchpad,0,8,40,450,6,1,1782724698441
1,marti,touchpad,0,8,40,450,3,1,1782724699043
1,marti,touchpad,0,8,40,450,7,1,1782724699680
1,marti,touchpad,0,8,40,450,4,1,1782724700290
1,marti,touchpad,0,8,40,450,0,1,1782724700879
2,marti,touchpad,0,8,40,450,3,1,1782724702233
2,marti,touchpad,0,8,40,450,7,1,1782724702868
2,marti,touchpad,0,8,40,450,4,1,1782724703371
2,marti,touchpad,0,8,40,450,0,1,1782724703882
2,marti,touchpad,0,8,40,450,5,1,1782724704492
2,marti,touchpad,0,8,40,450,1,1,1782724705255
2,marti,touchpad,0,8,40,450,6,1,1782724706021
2,marti,touchpad,0,8,40,450,2,1,1782724706642
