iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,mouse,0,8,55,350,6,1,1782833687017
0,hector,mouse,0,8,55,350,2,1,1782833687622
0,hector,mouse,0,8,55,350,7,1,1782833688175
0,hector,mouse,0,8,55,350,3,1,1782833688717
0,hector,mouse,0,8,55,350,0,1,1782833689400
0,hector,mouse,0,8,55,350,4,1,1782833689954
0,hector,mouse,0,8,55,350,1,1,1782833690575
0,hector,mouse,0,8,55,350,5,1,1782833691281
1,hector,mouse,0,8,55,350,6,1,1782833692934
1,hector,mouse,0,8,55,350,2,1,1782833693487
1,hector,mouse,0,8,55,350,7,1,1782833694072
1,hector,mouse,0,8,55,350,3,1,1782833694723
1,hector,mouse,0,8,55,350,0,1,1782833695367
1,hector,mouse,0,8,55,350,4,1,1782833695902
1,hector,mouse,0,8,55,350,1,1,1782833696487
1,hector,mouse,0,8,55,350,5,1,1782833697071
2,hector,mouse,0,8,55,350,4,1,1782833698684
2,hector,mouse,0,8,55,350,0,1,1782833699191
2,hector,mouse,0,8,55,350,5,1,1782833699839
2,hector,mouse,0,8,55,350,1,1,1782833700629
2,hector,mouse,0,8,55,350,6,1,1782833701317
2,hector,mouse,0,8,55,350,2,1,1782833701936
2,hector,mouse,0,8,55,350,7,1,1782833702481
2,hector,mouse,0,8,55,350,3,1,1782833703181
