iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,pose,0,8,55,450,7,1,1782834487319
0,hector,pose,0,8,55,450,3,1,1782834488631
0,hector,pose,0,8,55,450,0,1,1782834491928
0,hector,pose,0,8,55,450,4,1,1782834494792
0,hector,pose,0,8,55,450,1,1,1782834496088
0,hector,pose,0,8,55,450,5,1,1782834498679
0,hector,pose,0,8,55,450,2,1,1782834500011
0,hector,pose,0,8,55,450,6,1,1782834501802
1,hector,pose,0,8,55,450,7,1,1782834509079
1,hector,pose,0,8,55,450,3,1,1782834510345
1,hector,pose,0,8,55,450,0,1,1782834511305
1,hector,pose,0,8,55,450,4,1,1782834513242
1,hector,pose,0,8,55,450,1,1,1782834514264
1,hector,pose,0,8,55,450,5,0,1782834514361
1,hector,pose,0,8,55,450,5,1,1782834516535
1,hector,pose,0,8,55,450,2,1,1782834517754
1,hector,pose,0,8,55,450,6,1,1782834518776
2,hector,pose,0,8,55,450,1,1,1782834527032
2,hector,pose,0,8,55,450,5,1,1782834528714
2,hector,pose,0,8,55,450,2,1,1782834529785
2,hector,pose,0,8,55,450,6,1,1782834530921
2,hector,pose,0,8,55,450,3,1,1782834532985
2,hector,pose,0,8,55,450,7,1,1782834534091
2,hector,pose,0,8,55,450,4,0,1782834537496
2,hector,pose,0,8,55,450,4,1,1782834538665
2,hector,pose,0,8,55,450,0,1,1782834540888
