iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,martina,mouse,0,8,55,550,0,1,1782829461867
0,martina,mouse,0,8,55,550,4,1,1782829462367
0,martina,mouse,0,8,55,550,1,1,1782829462873
0,martina,mouse,0,8,55,550,5,1,1782829463507
0,martina,mouse,0,8,55,550,2,1,1782829464064
0,martina,mouse,0,8,55,550,6,1,1782829464513
0,martina,mouse,0,8,55,550,3,1,1782829464966
0,martina,mouse,0,8,55,550,7,1,1782829465541
1,martina,mouse,0,8,55,550,2,1,1782829466707
1,martina,mouse,0,8,55,550,6,1,1782829467161
1,martina,mouse,0,8,55,550,3,1,1782829467596
1,martina,mouse,0,8,55,550,7,1,1782829468101
1,martina,mouse,0,8,55,550,4,1,1782829468556
1,martina,mouse,0,8,55,550,0,1,1782829469009
1,martina,mouse,0,8,55,550,5,1,1782829469575
1,martina,mouse,0,8,55,550,1,1,1782829470056
2,martina,mouse,0,8,55,550,3,1,1782829471213
2,martina,mouse,0,8,55,550,7,1,1782829471737
2,martina,mouse,0,8,55,550,4,1,1782829472359
2,martina,mouse,0,8,55,550,0,1,1782829472813
2,martina,mouse,0,8,55,550,5,1,1782829473330
2,martina,mouse,0,8,55,550,1,1,1782829473741
2,martina,mouse,0,8,55,550,6,1,1782829474441
2,martina,mouse,0,8,55,550,2,1,1782829474869
