iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,mouse,150,8,40,450,1,1,1782851625175
0,pat,mouse,150,8,40,450,5,1,1782851625879
0,pat,mouse,150,8,40,450,2,1,1782851626603
0,pat,mouse,150,8,40,450,6,1,1782851627328
0,pat,mouse,150,8,40,450,3,1,1782851627984
0,pat,mouse,150,8,40,450,7,1,1782851628740
0,pat,mouse,150,8,40,450,4,1,1782851629428
0,pat,mouse,150,8,40,450,0,1,1782851630149
1,pat,mouse,150,8,40,450,2,1,1782851631523
1,pat,mouse,150,8,40,450,6,1,1782851632342
1,pat,mouse,150,8,40,450,3,1,1782851633055
1,pat,mouse,150,8,40,450,7,1,1782851633747
1,pat,mouse,150,8,40,450,4,1,1782851634555
1,pat,mouse,150,8,40,450,0,1,1782851635404
1,pat,mouse,150,8,40,450,5,1,1782851636110
1,pat,mouse,150,8,40,450,1,1,1782851636793
2,pat,mouse,150,8,40,450,3,1,1782851637901
2,pat,mouse,150,8,40,450,7,1,1782851638586
2,pat,mouse,150,8,40,450,4,1,1782851639376
2,pat,mouse,150,8,40,450,0,1,1782851640221
2,pat,mouse,150,8,40,450,5,1,1782851640953
2,pat,mouse,150,8,40,450,1,1,1782851641643
2,pat,mouse,150,8,40,450,6,1,1782851642469
2,pat,mouse,150,8,40,450,2,1,1782851643087
