iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,mouse,150,8,55,350,4,1,1782833806190
0,hector,mouse,150,8,55,350,0,1,1782833807062
0,hector,mouse,150,8,55,350,5,1,1782833807684
0,hector,mouse,150,8,55,350,1,1,1782833808596
0,hector,mouse,150,8,55,350,6,1,1782833809549
0,hector,mouse,150,8,55,350,2,1,1782833810080
0,hector,mouse,150,8,55,350,7,1,1782833810924
0,hector,mouse,150,8,55,350,3,1,1782833811467
1,hector,mouse,150,8,55,350,7,1,1782833813088
1,hector,mouse,150,8,55,350,3,1,1782833814083
1,hector,mouse,150,8,55,350,0,1,1782833814836
1,hector,mouse,150,8,55,350,4,1,1782833815597
1,hector,mouse,150,8,55,350,1,1,1782833816200
1,hector,mouse,150,8,55,350,5,1,1782833816819
1,hector,mouse,150,8,55,350,2,1,1782833817418
1,hector,mouse,150,8,55,350,6,1,1782833818265
2,hector,mouse,150,8,55,350,1,1,1782833819915
2,hector,mouse,150,8,55,350,5,1,1782833820537
2,hector,mouse,150,8,55,350,2,1,1782833821308
2,hector,mouse,150,8,55,350,6,1,1782833821948
2,hector,mouse,150,8,55,350,3,1,1782833822717
2,hector,mouse,150,8,55,350,7,1,1782833823611
2,hector,mouse,150,8,55,350,4,1,1782833824373
2,hector,mouse,150,8,55,350,0,1,1782833825325
