iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,pose,0,8,40,550,5,1,1782834428646
0,hector,pose,0,8,40,550,1,1,1782834430054
0,hector,pose,0,8,40,550,6,0,1782834430121
0,hector,pose,0,8,40,550,6,1,1782834431158
0,hector,pose,0,8,40,550,2,1,1782834432406
0,hector,pose,0,8,40,550,7,1,1782834433702
0,hector,pose,0,8,40,550,3,1,1782834435622
0,hector,pose,0,8,40,550,0,1,1782834437686
0,hector,pose,0,8,40,550,4,1,1782834440423
1,hector,pose,0,8,40,550,5,1,1782834446297
1,hector,pose,0,8,40,550,1,0,1782834446536
1,hector,pose,0,8,40,550,1,1,1782834447830
1,hector,pose,0,8,40,550,6,1,1782834451319
1,hector,pose,0,8,40,550,2,0,1782834451383
1,hector,pose,0,8,40,550,2,1,1782834452582
1,hector,pose,0,8,40,550,7,0,1782834454150
1,hector,pose,0,8,40,550,7,1,1782834454776
1,hector,pose,0,8,40,550,3,1,1782834456473
1,hector,pose,0,8,40,550,0,1,1782834458407
1,hector,pose,0,8,40,550,4,1,1782834461720
2,hector,pose,0,8,40,550,4,1,1782834466502
2,hector,pose,0,8,40,550,0,1,1782834469063
2,hector,pose,0,8,40,550,5,1,1782834471096
2,hector,pose,0,8,40,550,1,1,1782834472887
2,hector,pose,0,8,40,550,6,1,1782834476135
2,hector,pose,0,8,40,550,2,1,1782834478184
2,hector,pose,0,8,40,550,7,1,1782834479626
2,hector,pose,0,8,40,550,3,1,1782834481255
