iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,hector,touchpad,0,8,40,550,3,1,1782834073939
0,hector,touchpad,0,8,40,550,7,1,1782834074948
0,hector,touchpad,0,8,40,550,4,1,1782834075959
0,hector,touchpad,0,8,40,550,0,1,1782834076841
0,hector,touchpad,0,8,40,550,5,1,1782834077782
0,hector,touchpad,0,8,40,550,1,1,1782834078925
0,hector,touchpad,0,8,40,550,6,1,1782834079887
0,hector,touchpad,0,8,40,550,2,1,1782834080921
1,hector,touchpad,0,8,40,550,4,1,1782834083366
1,hector,touchpad,0,8,40,550,0,1,1782834084247
1,hector,touchpad,0,8,40,550,5,1,1782834085191
1,hector,touchpad,0,8,40,550,1,0,1782834086383
1,hector,touchpad,0,8,40,550,1,1,1782834086903
1,hector,touchpad,0,8,40,550,6,1,1782834087878
1,hector,touchpad,0,8,40,550,2,1,1782834088991
1,hector,touchpad,0,8,40,550,7,1,1782834090029
1,hector,touchpad,0,8,40,550,3,1,1782834091197
2,hector,touchpad,0,8,40,550,4,1,1782834093729
2,hector,touchpad,0,8,40,550,0,1,1782834094510
2,hector,touchpad,0,8,40,550,5,1,1782834095323
2,hector,touchpad,0,8,40,550,1,1,1782834096174
2,hector,touchpad,0,8,40,550,6,1,1782834096971
2,hector,touchpad,0,8,40,550,2,1,1782834097938
2,hector,touchpad,0,8,40,550,7,1,1782834098887
2,hector,touchpad,0,8,40,550,3,1,1782834099834
