iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,martina,mouse,150,8,40,450,7,1,1782829717494
0,martina,mouse,150,8,40,450,3,1,1782829718028
0,martina,mouse,150,8,40,450,0,1,1782829718649
0,martina,mouse,150,8,40,450,4,1,1782829719157
0,martina,mouse,150,8,40,450,1,1,1782829719892
0,martina,mouse,150,8,40,450,5,1,1782829720517
0,martina,mouse,150,8,40,450,2,1,1782829721190
0,martina,mouse,150,8,40,450,6,1,1782829721812
1,martina,mouse,150,8,40,450,3,1,1782829722928
1,martina,mouse,150,8,40,450,7,1,1782829723528
1,martina,mouse,150,8,40,450,4,1,1782829724149
1,martina,mouse,150,8,40,450,0,1,1782829724862
1,martina,mouse,150,8,40,450,5,1,1782829725408
1,martina,mouse,150,8,40,450,1,1,1782829726014
1,martina,mouse,150,8,40,450,6,1,1782829726653
1,martina,mouse,150,8,40,450,2,1,1782829727340
2,martina,mouse,150,8,40,450,6,1,1782829728535
2,martina,mouse,150,8,40,450,2,1,1782829729045
2,martina,mouse,150,8,40,450,7,1,1782829729646
2,martina,mouse,150,8,40,450,3,1,1782829730252
2,martina,mouse,150,8,40,450,0,1,1782829730978
2,martina,mouse,150,8,40,450,4,1,1782829731732
2,martina,mouse,150,8,40,450,1,1,1782829732474
2,martina,mouse,150,8,40,450,5,1,1782829733131
