iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,martina,touchpad,0,8,40,550,7,1,1782829807069
0,martina,touchpad,0,8,40,550,3,1,1782829807708
0,martina,touchpad,0,8,40,550,0,1,1782829808397
0,martina,touchpad,0,8,40,550,4,1,1782829808968
0,martina,touchpad,0,8,40,550,1,1,1782829809640
0,martina,touchpad,0,8,40,550,5,1,1782829810332
0,martina,touchpad,0,8,40,550,2,1,1782829810970
0,martina,touchpad,0,8,40,550,6,1,1782829811737
1,martina,touchpad,0,8,40,550,1,1,1782829813165
1,martina,touchpad,0,8,40,550,5,1,1782829813935
1,martina,touchpad,0,8,40,550,2,1,1782829814675
1,martina,touchpad,0,8,40,550,6,1,1782829815215
1,martina,touchpad,0,8,40,550,3,1,1782829815746
1,martina,touchpad,0,8,40,550,7,1,1782829816358
1,martina,touchpad,0,8,40,550,4,1,1782829817095
1,martina,touchpad,0,8,40,550,0,1,1782829817710
2,martina,touchpad,0,8,40,550,5,1,1782829819215
2,martina,touchpad,0,8,40,550,1,1,1782829819818
2,martina,touchpad,0,8,40,550,6,1,1782829820450
2,martina,touchpad,0,8,40,550,2,1,1782829821187
2,martina,touchpad,0,8,40,550,7,1,1782829821738
2,martina,touchpad,0,8,40,550,3,1,1782829822246
2,martina,touchpad,0,8,40,550,0,1,1782829822920
2,martina,touchpad,0,8,40,550,4,1,1782829823642
