iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,mouse,150,8,55,450,6,1,1782851440854
0,pat,mouse,150,8,55,450,2,1,1782851441560
0,pat,mouse,150,8,55,450,7,1,1782851442166
0,pat,mouse,150,8,55,450,3,1,1782851442768
0,pat,mouse,150,8,55,450,0,1,1782851443438
0,pat,mouse,150,8,55,450,4,0,1782851444209
0,pat,mouse,150,8,55,450,4,1,1782851445028
0,pat,mouse,150,8,55,450,1,1,1782851445707
0,pat,mouse,150,8,55,450,5,1,1782851446527
1,pat,mouse,150,8,55,450,6,1,1782851448001
1,pat,mouse,150,8,55,450,2,1,1782851448829
1,pat,mouse,150,8,55,450,7,1,1782851449543
1,pat,mouse,150,8,55,450,3,1,1782851450269
1,pat,mouse,150,8,55,450,0,1,1782851451056
1,pat,mouse,150,8,55,450,4,1,1782851451657
1,pat,mouse,150,8,55,450,1,0,1782851452512
1,pat,mouse,150,8,55,450,1,1,1782851453994
1,pat,mouse,150,8,55,450,5,1,1782851455082
2,pat,mouse,150,8,55,450,4,1,1782851456534
2,pat,mouse,150,8,55,450,0,1,1782851457395
2,pat,mouse,150,8,55,450,5,1,1782851458246
2,pat,mouse,150,8,55,450,1,0,1782851458993
2,pat,mouse,150,8,55,450,1,1,1782851460300
2,pat,mouse,150,8,55,450,6,1,1782851461085
2,pat,mouse,150,8,55,450,2,1,1782851461795
2,pat,mouse,150,8,55,450,7,1,1782851462544
2,pat,mouse,150,8,55,450,3,1,1782851463244
