iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,pose,0,8,55,550,1,1,1782852054283
0,pat,pose,0,8,55,550,5,0,1782852057604
0,pat,pose,0,8,55,550,5,1,1782852058650
0,pat,pose,0,8,55,550,2,1,1782852061586
0,pat,pose,0,8,55,550,6,1,1782852063350
0,pat,pose,0,8,55,550,3,1,1782852064897
0,pat,pose,0,8,55,550,7,1,1782852066662
0,pat,pose,0,8,55,550,4,1,1782852068064
0,pat,pose,0,8,55,550,0,0,1782852070259
0,pat,pose,0,8,55,550,0,0,1782852071467
0,pat,pose,0,8,55,550,0,0,1782852072066
0,pat,pose,0,8,55,550,0,1,1782852072564
1,pat,pose,0,8,55,550,7,0,1782852075129
1,pat,pose,0,8,55,550,7,1,1782852075718
1,pat,pose,0,8,55,550,3,1,1782852077531
1,pat,pose,0,8,55,550,0,1,1782852078677
1,pat,pose,0,8,55,550,4,1,1782852079878
1,pat,pose,0,8,55,550,1,0,1782852080930
1,pat,pose,0,8,55,550,1,1,1782852081937
1,pat,pose,0,8,55,550,5,1,1782852083553
1,pat,pose,0,8,55,550,2,1,1782852088148
1,pat,pose,0,8,55,550,6,0,1782852088409
1,pat,pose,0,8,55,550,6,1,1782852090312
2,pat,pose,0,8,55,550,7,0,1782852092002
2,pat,pose,0,8,55,550,7,1,1782852092714
2,pat,pose,0,8,55,550,3,1,1782852094117
2,pat,pose,0,8,55,550,0,1,1782852095365
2,pat,pose,0,8,55,550,4,0,1782852096017
2,pat,pose,0,8,55,550,4,1,1782852096915
2,pat,pose,0,8,55,550,1,0,1782852097727
2,pat,pose,0,8,55,550,1,0,1782852097979
2,pat,pose,0,8,55,550,1,0,1782852098872
2,pat,pose,0,8,55,550,1,0,1782852098965
2,pat,pose,0,8,55,550,1,1,1782852099178
2,pat,pose,0,8,55,550,5,0,1782852099531
2,pat,pose,0,8,55,550,5,0,1782852099972
2,pat,pose,0,8,55,550,5,0,1782852100119
2,pat,pose,0,8,55,550,5,1,1782852101266
2,pat,pose,0,8,55,550,2,0,1782852101439
2,pat,pose,0,8,55,550,2,0,1782852101828
2,pat,pose,0,8,55,550,2,1,1782852102889
2,pat,pose,0,8,55,550,6,1,1782852104626
