iteration,part_id,input_method,delay,num_targets,radius,distance,target_id,hit,timestamp
0,pat,touchpad,0,8,55,350,4,1,1782851685819
0,pat,touchpad,0,8,55,350,0,1,1782851686927
0,pat,touchpad,0,8,55,350,5,1,1782851687994
0,pat,touchpad,0,8,55,350,1,1,1782851688873
0,pat,touchpad,0,8,55,350,6,1,1782851690083
0,pat,touchpad,0,8,55,350,2,1,1782851691060
0,pat,touchpad,0,8,55,350,7,1,1782851692023
0,pat,touchpad,0,8,55,350,3,1,1782851692909
1,pat,touchpad,0,8,55,350,0,1,1782851748760
1,pat,touchpad,0,8,55,350,4,1,1782851749787
1,pat,touchpad,0,8,55,350,1,1,1782851750753
1,pat,touchpad,0,8,55,350,5,1,1782851751866
1,pat,touchpad,0,8,55,350,2,1,1782851752854
1,pat,touchpad,0,8,55,350,6,1,1782851753828
1,pat,touchpad,0,8,55,350,3,1,1782851754800
1,pat,touchpad,0,8,55,350,7,1,1782851755627
2,pat,touchpad,0,8,55,350,6,1,1782851758360
2,pat,touchpad,0,8,55,350,2,1,1782851759299
2,pat,touchpad,0,8,55,350,7,1,1782851760134
2,pat,touchpad,0,8,55,350,3,1,1782851761099
2,pat,touchpad,0,8,55,350,0,1,1782851762014
2,pat,touchpad,0,8,55,350,4,1,1782851762963
2,pat,touchpad,0,8,55,350,1,1,1782851763776
2,pat,touchpad,0,8,55,350,5,1,1782851765303
